"key","EN","Japanese","CHS","CHT"
"finishe_today","You finished the schedule today","今日の進捗は完了しました。","今天进度已经完成啰！","今天進度已經完成囉！"
"pull_down_to_finish","Swipe up to finish today's schedule!","今日の進捗が達成されるとプルアップしてください。","用力往上滑来完成今天进度","用力往上滑來完成今天進度"
"move_to_previous_year","The past is in the past!","過去を振り返らないでね！","去年已经不能回头！","去年已經不能回頭！"
"move_to_next_year","Just enjoy the present!","まだ今年は終わってないよ！","今年还没过完呢！","今年還沒過完呢！"
"month","/","月","月","月"
"day","","日","日","日"
"font_type","Font","フォント","字体","字體"
"font_type1","Default","Default","预设","預設"
"font_type2","PingFang","PingFang","PingFang","PingFang"
"font_type3","Times","Times","Times","Times"
"font_size","Font Size","サイズ","字级","字級"
"font_line","Line Space"," 行の高さ ","行距","行距"
"pull_down_congrats","Congrats, you finished it!","今日の進捗は完了しました、お疲れ様です！","恭喜你完成今天的进度！","恭喜你完成今天的進度！"
"bookmark","Book Mark","ブックマーク","书签","書籤"
"close_tooltip","Close","閉じる","关闭","關閉"
"copy_verse","Copy","コピー","复制","複製"
"share_verse","Share","共有","分享","分享"
"popup_copy_successed","Copied Successfully","コピーが成功しました。","复制成功","複製成功"
"popup_bookmark_successed","Added to Bookmark","お気に入りに追加されました。","已加入书签","已加入書籤"
"popup_bookmark_removed","Removed the Bookmark","ブックマークを削除しました。","移除书签","移除書籤"
"popup_share_successed","Shared Successfully","共有しました。","分享成功","分享成功"
"bookmark_search","Search","検索","搜寻","搜尋"
"bookmark_isempty","No bookmarks to show","まだブックマークはありません。","目前没有书签","目前沒有書籤"
"bookmark_no_searchKey","No bookmarks match to bookmark_no_searchKey","bookmark_no_searchKeyのブックマークはありません","没有bookmark_no_searchKey的书签","沒有bookmark_no_searchKey的書籤"
"bookmark_number","bookmark_number bookmarks is found","ブックマークにお経はbookmark_number個あります。","目前书签经文有bookmark_number个","目前書籤經文有bookmark_number個"
"bookmark_matchSearchKey","bookmark_number bookmarks match to searchKey is found","現在並んでいるsearchKeyブックマークにお経はbookmark_number個あります。","目前符合searchKey的书签经文有bookmark_number个","目前符合searchKey的書籤經文有bookmark_number個"
"bible_searchKey_limit","Searching characters can not be empty","検索を空にすることはできません","搜寻不能是空的","搜尋不能是空的"
"bible_search_chapter","CHPT","章","章节","章節"
"bible_search_book","BK","書","书卷","書卷"
"bible_search_placeholder","All","すべて","所有","所有"
"bible_search_old_testament","OT","旧約","旧约","舊約"
"bible_search_new_testament","NT","新約","新约","新約"
"bible_search_laws","Laws","トーラー","律法书","律法書"
"bible_search_history","History","歴史帳","历史书","歷史書"
"bible_search_wisdom","Wisdom","知恵の本","智慧書","智慧書"
"bible_search_prophet","Prophet","預言者","智慧书","先知書"
"bible_search_gospel","Gospel","四福音","四福音","四福音"
"bible_search_paul","Paul","ポール","保罗书信","保羅書信"
"bible_search_title","Search","検索","搜寻","搜尋"
"bible_verse_number","verse_number verses is found","ブックマークにお経はbookmark_number個あります。","目前经文有verse_number个","目前經文有verse_number個"
"note_title_placeholder","Write a title for the Note","この精神的な日誌のタイトルを書いてください！","为这天灵修日记订个标题！","為這天靈修日記訂個標題！"
"note_content_placeholder","Something I want to say...","何かを書く......","写点什么...","寫點什麼..."